trial,payload_bytes,latency_ns
1,64,154211
2,64,53661
3,64,160533
4,64,55114
5,64,176804
6,64,44985
7,64,154000
8,64,67568
9,64,106231
10,64,51637
11,64,180801
12,64,53050
13,64,155023
14,64,43943
15,64,144613
16,64,57158
17,64,172165
18,64,83017
19,64,151015
20,64,64241
21,64,177866
22,64,108676
23,64,136728
24,64,140435
25,64,89228
26,64,119225
27,64,74611
28,64,121649
29,64,195028
30,64,79951
31,64,243229
32,64,59762
33,64,196291
34,64,59211
35,64,205107
36,64,58561
37,64,115938
38,64,59452
39,64,159211
40,64,55064
41,64,177946
42,64,80201
43,64,221118
44,64,169820
45,64,70353
46,64,109907
47,64,117822
48,64,65985
49,64,140025
50,64,86043
51,64,83207
52,64,191512
53,64,67928
54,64,172085
55,64,57970
56,64,138822
57,64,70383
58,64,213684
59,64,135906
60,64,157547
61,64,85561
62,64,87275
63,64,126960
64,64,96221
65,64,696985
66,64,549757
67,64,152097
68,64,87926
69,64,174700
70,64,97675
71,64,108445
72,64,114696
73,64,174529
74,64,125317
75,64,105129
76,64,167326
77,64,59823
78,64,233661
79,64,61176
80,64,174189
81,64,159852
82,64,66926
83,64,267765
84,64,91523
85,64,198354
86,64,108024
87,64,110248
88,64,144062
89,64,83197
90,64,120407
91,64,219825
92,64,91583
93,64,214625
94,64,90651
95,64,139343
96,64,91312
97,64,135686
98,64,166654
99,64,64482
100,64,245032
1,256,201190
2,256,62267
3,256,204166
4,256,221147
5,256,94558
6,256,229082
7,256,115678
8,256,159110
9,256,110779
10,256,144172
11,256,108224
12,256,134784
13,256,77206
14,256,235114
15,256,82927
16,256,157077
17,256,134283
18,256,119416
19,256,125337
20,256,115098
21,256,176153
22,256,68880
23,256,221358
24,256,104387
25,256,130907
26,256,98255
27,256,93647
28,256,189568
29,256,138431
30,256,190580
31,256,101000
32,256,129745
33,256,102975
34,256,130716
35,256,178006
36,256,273426
37,256,508830
38,256,110097
39,256,217691
40,256,76865
41,256,202953
42,256,103986
43,256,208484
44,256,86103
45,256,252537
46,256,78088
47,256,235605
48,256,120818
49,256,98566
50,256,153660
51,256,216679
52,256,195168
53,256,86583
54,256,172325
55,256,87986
56,256,247888
57,256,128874
58,256,90882
59,256,206750
60,256,78789
61,256,257536
62,256,68880
63,256,200658
64,256,92484
65,256,181402
66,256,110469
67,256,174018
68,256,189448
69,256,75182
70,256,193104
71,256,68139
72,256,191853
73,256,106441
74,256,130427
75,256,85832
76,256,132370
77,256,104978
78,256,100209
79,256,152317
80,256,57369
81,256,132711
82,256,74621
83,256,137850
84,256,198064
85,256,476960
86,256,109787
87,256,173988
88,256,116500
89,256,114166
90,256,148150
91,256,84880
92,256,107293
93,256,102494
94,256,188926
95,256,173708
96,256,96993
97,256,142349
98,256,84159
99,256,175070
100,256,88487
1,1024,69771
2,1024,256565
3,1024,72647
4,1024,197543
5,1024,119585
6,1024,111360
7,1024,105459
8,1024,93246
9,1024,111009
10,1024,106041
11,1024,178287
12,1024,64792
13,1024,185630
14,1024,108615
15,1024,116420
16,1024,151717
17,1024,155304
18,1024,125687
19,1024,175712
20,1024,142589
21,1024,300107
22,1024,319232
23,1024,201861
24,1024,104367
25,1024,201140
26,1024,247537
27,1024,87105
28,1024,240674
29,1024,113945
30,1024,116921
31,1024,114256
32,1024,103696
33,1024,125087
34,1024,170161
35,1024,70784
36,1024,188035
37,1024,127611
38,1024,170361
39,1024,80603
40,1024,106851
41,1024,129074
42,1024,132019
43,1024,202783
44,1024,120628
45,1024,114206
46,1024,118253
47,1024,134454
48,1024,196050
49,1024,111450
50,1024,165202
51,1024,102283
52,1024,131027
53,1024,407699
54,1024,143251
55,1024,160353
56,1024,86323
57,1024,215226
58,1024,74110
59,1024,147729
60,1024,105139
61,1024,117261
62,1024,144132
63,1024,155944
64,1024,100119
65,1024,134875
66,1024,183997
67,1024,74631
68,1024,292692
69,1024,101181
70,1024,120928
71,1024,151927
72,1024,85491
73,1024,147729
74,1024,94969
75,1024,257015
76,1024,95560
77,1024,508059
78,1024,165752
79,1024,328890
80,1024,134073
81,1024,260512
82,1024,78408
83,1024,250864
84,1024,154903
85,1024,108375
86,1024,129625
87,1024,137940
88,1024,109166
89,1024,134123
90,1024,174790
91,1024,94538
92,1024,114346
93,1024,130577
94,1024,94518
95,1024,198284
96,1024,92094
97,1024,128102
98,1024,106331
99,1024,87505
100,1024,236586
1,4096,90140
2,4096,179830
3,4096,125076
4,4096,126930
5,4096,217150
6,4096,181893
7,4096,125677
8,4096,212962
9,4096,133632
10,4096,135806
11,4096,204346
12,4096,389946
13,4096,165723
14,4096,117081
15,4096,253829
16,4096,146216
17,4096,231597
18,4096,163919
19,4096,165012
20,4096,115057
21,4096,225295
22,4096,108955
23,4096,173868
24,4096,102133
25,4096,197693
26,4096,231397
27,4096,93045
28,4096,212171
29,4096,458094
30,4096,175822
31,4096,285098
32,4096,102633
33,4096,273185
34,4096,92675
35,4096,262145
36,4096,158519
37,4096,151185
38,4096,154812
39,4096,147167
40,4096,153770
41,4096,132139
42,4096,136447
43,4096,243971
44,4096,139854
45,4096,242819
46,4096,397260
47,4096,176563
48,4096,200298
49,4096,135466
50,4096,269268
51,4096,121630
52,4096,252767
53,4096,115107
54,4096,308011
55,4096,114035
56,4096,240003
57,4096,179699
58,4096,237739
59,4096,167917
60,4096,142749
61,4096,156595
62,4096,208634
63,4096,500975
64,4096,306138
65,4096,169720
66,4096,248880
67,4096,208023
68,4096,188465
69,4096,125456
70,4096,255252
71,4096,120437
72,4096,257205
73,4096,171373
74,4096,202392
75,4096,223692
76,4096,145665
77,4096,132640
78,4096,451161
79,4096,305356
80,4096,120217
81,4096,277393
82,4096,95450
83,4096,324051
84,4096,130918
85,4096,238029
86,4096,160533
87,4096,162586
88,4096,164661
89,4096,242437
90,4096,140295
91,4096,190639
92,4096,152799
93,4096,649075
94,4096,146517
95,4096,287773
96,4096,135436
97,4096,232709
98,4096,128964
99,4096,250422
100,4096,83647
