trial,latency_ns
1,54505327
2,51129917
3,51035129
4,50917666
5,50991485
6,51276243
7,51077679
8,50972380
9,50994582
10,51044786
11,51012114
12,50966449
13,50899092
14,51057450
15,51052030
16,51035429
17,51067710
18,50880837
19,51047211
20,51113777
21,50909240
22,51020330
23,51090022
24,50999982
25,50936943
26,51058312
27,51207524
28,51147300
29,51039606
30,51067369
31,51059464
32,50865678
33,51089331
34,51233232
35,51022074
36,51038985
37,51022544
38,50975505
39,51081987
40,51260033
41,51085974
42,51057921
43,51023406
44,51120219
45,51111893
46,50995013
47,51105932
48,51078069
49,51120399
50,51047923
