trial,payload_bytes,latency_ns,delivered
1,64,154211,true
2,64,53661,true
3,64,160533,true
4,64,55114,true
5,64,176804,true
6,64,44985,true
7,64,154000,true
8,64,67568,true
9,64,106231,true
10,64,51637,true
11,64,180801,true
12,64,53050,true
13,64,155023,true
14,64,43943,true
15,64,144613,true
16,64,57158,true
17,64,172165,true
18,64,83017,true
19,64,151015,true
20,64,64241,true
21,64,177866,true
22,64,108676,true
23,64,136728,true
24,64,140435,true
25,64,89228,true
26,64,119225,true
27,64,74611,true
28,64,121649,true
29,64,195028,true
30,64,79951,true
31,64,243229,true
32,64,59762,true
33,64,196291,true
34,64,59211,true
35,64,205107,true
36,64,58561,true
37,64,115938,true
38,64,59452,true
39,64,159211,true
40,64,55064,true
41,64,177946,true
42,64,80201,true
43,64,221118,true
44,64,169820,true
45,64,70353,true
46,64,109907,true
47,64,117822,true
48,64,65985,true
49,64,140025,true
50,64,86043,true
51,64,83207,true
52,64,191512,true
53,64,67928,true
54,64,172085,true
55,64,57970,true
56,64,138822,true
57,64,70383,true
58,64,213684,true
59,64,135906,true
60,64,157547,true
61,64,85561,true
62,64,87275,true
63,64,126960,true
64,64,96221,true
65,64,696985,true
66,64,549757,true
67,64,152097,true
68,64,87926,true
69,64,174700,true
70,64,97675,true
71,64,108445,true
72,64,114696,true
73,64,174529,true
74,64,125317,true
75,64,105129,true
76,64,167326,true
77,64,59823,true
78,64,233661,true
79,64,61176,true
80,64,174189,true
81,64,159852,true
82,64,66926,true
83,64,267765,true
84,64,91523,true
85,64,198354,true
86,64,108024,true
87,64,110248,true
88,64,144062,true
89,64,83197,true
90,64,120407,true
91,64,219825,true
92,64,91583,true
93,64,214625,true
94,64,90651,true
95,64,139343,true
96,64,91312,true
97,64,135686,true
98,64,166654,true
99,64,64482,true
100,64,245032,true
1,256,201190,true
2,256,62267,true
3,256,204166,true
4,256,221147,true
5,256,94558,true
6,256,229082,true
7,256,115678,true
8,256,159110,true
9,256,110779,true
10,256,144172,true
11,256,108224,true
12,256,134784,true
13,256,77206,true
14,256,235114,true
15,256,82927,true
16,256,157077,true
17,256,134283,true
18,256,119416,true
19,256,125337,true
20,256,115098,true
21,256,176153,true
22,256,68880,true
23,256,221358,true
24,256,104387,true
25,256,130907,true
26,256,98255,true
27,256,93647,true
28,256,189568,true
29,256,138431,true
30,256,190580,true
31,256,101000,true
32,256,129745,true
33,256,102975,true
34,256,130716,true
35,256,178006,true
36,256,273426,true
37,256,508830,true
38,256,110097,true
39,256,217691,true
40,256,76865,true
41,256,202953,true
42,256,103986,true
43,256,208484,true
44,256,86103,true
45,256,252537,true
46,256,78088,true
47,256,235605,true
48,256,120818,true
49,256,98566,true
50,256,153660,true
51,256,216679,true
52,256,195168,true
53,256,86583,true
54,256,172325,true
55,256,87986,true
56,256,247888,true
57,256,128874,true
58,256,90882,true
59,256,206750,true
60,256,78789,true
61,256,257536,true
62,256,68880,true
63,256,200658,true
64,256,92484,true
65,256,181402,true
66,256,110469,true
67,256,174018,true
68,256,189448,true
69,256,75182,true
70,256,193104,true
71,256,68139,true
72,256,191853,true
73,256,106441,true
74,256,130427,true
75,256,85832,true
76,256,132370,true
77,256,104978,true
78,256,100209,true
79,256,152317,true
80,256,57369,true
81,256,132711,true
82,256,74621,true
83,256,137850,true
84,256,198064,true
85,256,476960,true
86,256,109787,true
87,256,173988,true
88,256,116500,true
89,256,114166,true
90,256,148150,true
91,256,84880,true
92,256,107293,true
93,256,102494,true
94,256,188926,true
95,256,173708,true
96,256,96993,true
97,256,142349,true
98,256,84159,true
99,256,175070,true
100,256,88487,true
1,1024,69771,true
2,1024,256565,true
3,1024,72647,true
4,1024,197543,true
5,1024,119585,true
6,1024,111360,true
7,1024,105459,true
8,1024,93246,true
9,1024,111009,true
10,1024,106041,true
11,1024,178287,true
12,1024,64792,true
13,1024,185630,true
14,1024,108615,true
15,1024,116420,true
16,1024,151717,true
17,1024,155304,true
18,1024,125687,true
19,1024,175712,true
20,1024,142589,true
21,1024,300107,true
22,1024,319232,true
23,1024,201861,true
24,1024,104367,true
25,1024,201140,true
26,1024,247537,true
27,1024,87105,true
28,1024,240674,true
29,1024,113945,true
30,1024,116921,true
31,1024,114256,true
32,1024,103696,true
33,1024,125087,true
34,1024,170161,true
35,1024,70784,true
36,1024,188035,true
37,1024,127611,true
38,1024,170361,true
39,1024,80603,true
40,1024,106851,true
41,1024,129074,true
42,1024,132019,true
43,1024,202783,true
44,1024,120628,true
45,1024,114206,true
46,1024,118253,true
47,1024,134454,true
48,1024,196050,true
49,1024,111450,true
50,1024,165202,true
51,1024,102283,true
52,1024,131027,true
53,1024,407699,true
54,1024,143251,true
55,1024,160353,true
56,1024,86323,true
57,1024,215226,true
58,1024,74110,true
59,1024,147729,true
60,1024,105139,true
61,1024,117261,true
62,1024,144132,true
63,1024,155944,true
64,1024,100119,true
65,1024,134875,true
66,1024,183997,true
67,1024,74631,true
68,1024,292692,true
69,1024,101181,true
70,1024,120928,true
71,1024,151927,true
72,1024,85491,true
73,1024,147729,true
74,1024,94969,true
75,1024,257015,true
76,1024,95560,true
77,1024,508059,true
78,1024,165752,true
79,1024,328890,true
80,1024,134073,true
81,1024,260512,true
82,1024,78408,true
83,1024,250864,true
84,1024,154903,true
85,1024,108375,true
86,1024,129625,true
87,1024,137940,true
88,1024,109166,true
89,1024,134123,true
90,1024,174790,true
91,1024,94538,true
92,1024,114346,true
93,1024,130577,true
94,1024,94518,true
95,1024,198284,true
96,1024,92094,true
97,1024,128102,true
98,1024,106331,true
99,1024,87505,true
100,1024,236586,true
1,4096,90140,true
2,4096,179830,true
3,4096,125076,true
4,4096,126930,true
5,4096,217150,true
6,4096,181893,true
7,4096,125677,true
8,4096,212962,true
9,4096,133632,true
10,4096,135806,true
11,4096,204346,true
12,4096,389946,true
13,4096,165723,true
14,4096,117081,true
15,4096,253829,true
16,4096,146216,true
17,4096,231597,true
18,4096,163919,true
19,4096,165012,true
20,4096,115057,true
21,4096,225295,true
22,4096,108955,true
23,4096,173868,true
24,4096,102133,true
25,4096,197693,true
26,4096,231397,true
27,4096,93045,true
28,4096,212171,true
29,4096,458094,true
30,4096,175822,true
31,4096,285098,true
32,4096,102633,true
33,4096,273185,true
34,4096,92675,true
35,4096,262145,true
36,4096,158519,true
37,4096,151185,true
38,4096,154812,true
39,4096,147167,true
40,4096,153770,true
41,4096,132139,true
42,4096,136447,true
43,4096,243971,true
44,4096,139854,true
45,4096,242819,true
46,4096,397260,true
47,4096,176563,true
48,4096,200298,true
49,4096,135466,true
50,4096,269268,true
51,4096,121630,true
52,4096,252767,true
53,4096,115107,true
54,4096,308011,true
55,4096,114035,true
56,4096,240003,true
57,4096,179699,true
58,4096,237739,true
59,4096,167917,true
60,4096,142749,true
61,4096,156595,true
62,4096,208634,true
63,4096,500975,true
64,4096,306138,true
65,4096,169720,true
66,4096,248880,true
67,4096,208023,true
68,4096,188465,true
69,4096,125456,true
70,4096,255252,true
71,4096,120437,true
72,4096,257205,true
73,4096,171373,true
74,4096,202392,true
