trial,payload_bytes,latency_ns
1,64,366121
2,64,51237
3,64,295838
4,64,61406
5,64,259610
6,64,91052
7,64,233791
8,64,78518
9,64,236597
10,64,95551
11,64,207541
12,64,194216
13,64,64682
14,64,165052
15,64,223432
16,64,39234
17,64,269158
18,64,68539
19,64,184929
20,64,74781
21,64,249040
22,64,36298
23,64,235805
24,64,87074
25,64,265381
26,64,38823
27,64,404743
28,64,45857
29,64,240223
30,64,77346
31,64,243309
32,64,70172
33,64,209445
34,64,172024
35,64,197021
36,64,132439
37,64,149071
38,64,177305
39,64,128612
40,64,138933
41,64,185750
42,64,127150
43,64,162277
44,64,125657
45,64,147569
46,64,161986
47,64,169640
48,64,109436
49,64,190589
50,64,122581
51,64,157858
52,64,143340
53,64,97734
54,64,194567
55,64,58089
56,64,210628
57,64,109477
58,64,174569
59,64,119455
60,64,137249
61,64,137850
62,64,113835
63,64,169670
64,64,469155
65,64,160964
66,64,172335
67,64,184629
68,64,79270
69,64,329612
70,64,52980
71,64,270290
72,64,71485
73,64,242608
74,64,127120
75,64,340984
76,64,48762
77,64,352215
78,64,54393
79,64,297141
80,64,70754
81,64,271442
82,64,53942
83,64,206410
84,64,51477
85,64,287482
86,64,94859
87,64,186823
88,64,170532
89,64,91502
90,64,321998
91,64,86864
92,64,208023
93,64,51577
94,64,319914
95,64,90641
96,64,314283
97,64,255472
98,64,305287
99,64,70943
100,64,449628
1,256,268788
2,256,62257
3,256,334561
4,256,67949
5,256,384345
6,256,153771
7,256,233631
8,256,132651
9,256,260952
10,256,69672
11,256,220506
12,256,104707
13,256,190039
14,256,183637
15,256,88186
16,256,228221
17,256,71325
18,256,325535
19,256,94198
20,256,539528
21,256,147057
22,256,209265
23,256,143401
24,256,195639
25,256,142549
26,256,160573
27,256,179419
28,256,105910
29,256,249210
30,256,85411
31,256,230555
32,256,65634
33,256,243189
34,256,73399
35,256,360180
36,256,416577
37,256,193946
38,256,111441
39,256,369888
40,256,63610
41,256,325664
42,256,95240
43,256,205718
44,256,145825
45,256,119986
46,256,231226
47,256,83828
48,256,243319
49,256,115598
50,256,234913
51,256,118864
52,256,306669
53,256,83377
54,256,237669
55,256,79269
56,256,315726
57,256,275890
58,256,308733
59,256,97444
60,256,273717
61,256,108805
62,256,209535
63,256,250512
64,256,134053
65,256,458345
66,256,61156
67,256,331065
68,256,92164
69,256,263117
70,256,102975
71,256,264309
72,256,104888
73,256,290138
74,256,102734
75,256,234833
76,256,467332
77,256,242678
78,256,145264
79,256,284497
80,256,108354
81,256,248078
82,256,94809
83,256,338730
84,256,83517
85,256,401607
86,256,94859
87,256,276592
88,256,130155
89,256,203675
90,256,166645
91,256,138752
92,256,219344
93,256,210638
94,256,251334
95,256,128703
96,256,572660
97,256,121780
98,256,286601
99,256,164681
100,256,434149
1,1024,228702
2,1024,213082
3,1024,121269
4,1024,222350
5,1024,533516
